"Timestamp","How frequently do you use data visualization in your work?","What types of data files do you primarily work with?","How do you currently visualize the data?","What challenges do you face when visualizing raw data","How beneficial would an automated platform that generates visualization for your data from multiple file types be to you?","Which features are most important for you in such platform?","How critical is the support for multiple file types(xlsx, csv, db) in your current workflow?","Which industry does your data normally correspond to?","What is your expertise in data analytics?","Would you be interested in participating in the beta test of this data visualization platform?"
"2025/02/06 10:55:33 AM GMT+5:30","Rarely","A Mix of all of the above","Using manual processes (e.g., Excel spreadsheets)","Complexity of tools","Somewhat beneficial","Advanced filtering and drill-down capabilities","Important","Technology","Intermediate","Yes"
"2025/02/06 10:58:59 AM GMT+5:30","Weekly","CSV","Utilizing business intelligence tools (e.g., Tableau, Power BI)","Time consumption;Integration issues with various file types","Neutral","Automated data cleaning and transformation;Easy integration with other tools and data sources","Not very important","Education","Intermediate","Yes"
"2025/02/06 11:00:34 AM GMT+5:30","Monthly","A Mix of all of the above","Utilizing business intelligence tools (e.g., Tableau, Power BI)","Time consumption;Integration issues with various file types","Somewhat beneficial","Automated data cleaning and transformation","Important","Education","Intermediate","Yes"
"2025/02/06 11:00:54 AM GMT+5:30","Weekly","CSV","Utilizing business intelligence tools (e.g., Tableau, Power BI)","Complexity of tools;Limited customization options","Somewhat beneficial","Interactive and dynamic charts;Customizable dashboard layouts","Important","Education","Advanced","Yes"
"2025/02/06 11:01:17 AM GMT+5:30","Weekly","CSV","Utilizing business intelligence tools (e.g., Tableau, Power BI)","Complexity of tools;Integration issues with various file types","Somewhat beneficial","Automated data cleaning and transformation;Customizable dashboard layouts","Somewhat important","Education","Advanced","Maybe"
"2025/02/06 11:01:19 AM GMT+5:30","Daily","A Mix of all of the above","Through custom coding or scripts","Data cleaning and preparation;Complexity of tools;Time consumption","Extremely beneficial","Interactive and dynamic charts;Automated data cleaning and transformation;Customizable dashboard layouts","Important","Technology","Intermediate","Yes"
"2025/02/06 11:02:25 AM GMT+5:30","Daily","CSV","Utilizing business intelligence tools (e.g., Tableau, Power BI)","Time consumption;Limited customization options","Somewhat beneficial","Advanced filtering and drill-down capabilities;Automated data cleaning and transformation","Somewhat important","Healthcare","Advanced","Yes"
"2025/02/06 11:02:42 AM GMT+5:30","Daily","CSV","Utilizing business intelligence tools (e.g., Tableau, Power BI)","Time consumption;Integration issues with various file types","Somewhat beneficial","Advanced filtering and drill-down capabilities;Easy integration with other tools and data sources","Important","Technology","Advanced","Yes"
"2025/02/06 11:05:08 AM GMT+5:30","Daily","CSV","Utilizing business intelligence tools (e.g., Tableau, Power BI)","Complexity of tools;Limited customization options","Neutral","Automated data cleaning and transformation;Easy integration with other tools and data sources","Important","Education","Beginner","Yes"
"2025/02/06 11:05:29 AM GMT+5:30","Weekly","A Mix of all of the above","Utilizing business intelligence tools (e.g., Tableau, Power BI)","Data cleaning and preparation;Limited customization options","Somewhat beneficial","Automated data cleaning and transformation;Easy integration with other tools and data sources","Important","Retail","Advanced","Maybe"
"2025/02/06 11:05:51 AM GMT+5:30","Daily","CSV","Using manual processes (e.g., Excel spreadsheets)","Data cleaning and preparation;Complexity of tools","Not very beneficial","Interactive and dynamic charts;Automated data cleaning and transformation","Somewhat important","Retail","Expert","Yes"
"2025/02/06 11:05:58 AM GMT+5:30","Daily","CSV","Using manual processes (e.g., Excel spreadsheets)","Data cleaning and preparation;Time consumption;Limited customization options;Integration issues with various file types","Not very beneficial","Advanced filtering and drill-down capabilities;Automated data cleaning and transformation;Easy integration with other tools and data sources","Important","Healthcare","Advanced","Yes"
"2025/02/06 11:06:29 AM GMT+5:30","Monthly","CSV","Utilizing business intelligence tools (e.g., Tableau, Power BI)","Complexity of tools;Time consumption;Limited customization options","Neutral","Interactive and dynamic charts;Advanced filtering and drill-down capabilities;Automated data cleaning and transformation;Customizable dashboard layouts","Important","Technology","Beginner","Yes"
"2025/02/06 11:06:31 AM GMT+5:30","Weekly","CSV","Through custom coding or scripts","Time consumption;Integration issues with various file types","Somewhat beneficial","Interactive and dynamic charts;Automated data cleaning and transformation;Easy integration with other tools and data sources","Important","Education","Intermediate","Yes"
"2025/02/06 11:07:00 AM GMT+5:30","Never","A Mix of all of the above","Using manual processes (e.g., Excel spreadsheets)","Time consumption","Somewhat beneficial","Advanced filtering and drill-down capabilities;Customizable dashboard layouts","Very critical","Technology","Intermediate","Maybe"
"2025/02/06 11:07:03 AM GMT+5:30","Weekly","Database files","Through custom coding or scripts","Data cleaning and preparation;Limited customization options","Somewhat beneficial","Automated data cleaning and transformation;Easy integration with other tools and data sources","Important","Retail","Intermediate","Yes"
"2025/02/06 11:07:25 AM GMT+5:30","Daily","A Mix of all of the above","Utilizing business intelligence tools (e.g., Tableau, Power BI)","Complexity of tools;Limited customization options","Neutral","Advanced filtering and drill-down capabilities;Customizable dashboard layouts","Very critical","Healthcare","Intermediate","Yes"
"2025/02/06 11:07:51 AM GMT+5:30","Daily","Database files","Utilizing business intelligence tools (e.g., Tableau, Power BI)","Data cleaning and preparation;Time consumption;Limited customization options","Neutral","Interactive and dynamic charts;Customizable dashboard layouts","Very critical","Retail","Advanced","Yes"
"2025/02/06 11:08:03 AM GMT+5:30","Weekly","CSV","I rely on pre-built templates","Complexity of tools;Time consumption;Limited customization options","Neutral","Interactive and dynamic charts;Advanced filtering and drill-down capabilities;Automated data cleaning and transformation","Somewhat important","Healthcare","Beginner","Yes"
"2025/02/06 11:08:17 AM GMT+5:30","Daily","A Mix of all of the above","Utilizing business intelligence tools (e.g., Tableau, Power BI)","Data cleaning and preparation;Complexity of tools;Integration issues with various file types","Extremely beneficial","Interactive and dynamic charts;Customizable dashboard layouts","Very critical","Education","Intermediate","Yes"
"2025/02/06 11:08:29 AM GMT+5:30","Weekly","Database files","Utilizing business intelligence tools (e.g., Tableau, Power BI)","Complexity of tools;Time consumption","Extremely beneficial","Automated data cleaning and transformation;Customizable dashboard layouts","Very critical","Education","Beginner","Yes"
"2025/02/06 11:08:37 AM GMT+5:30","Daily","CSV","Through custom coding or scripts","Complexity of tools;Limited customization options","Somewhat beneficial","Advanced filtering and drill-down capabilities;Customizable dashboard layouts;Easy integration with other tools and data sources","Very critical","Education","Advanced","Maybe"
"2025/02/06 11:08:42 AM GMT+5:30","Monthly","CSV","Using manual processes (e.g., Excel spreadsheets)","Data cleaning and preparation;Limited customization options","Somewhat beneficial","Automated data cleaning and transformation;Customizable dashboard layouts","Very critical","Education","Beginner","Yes"
"2025/02/06 11:30:14 AM GMT+5:30","Monthly","XLSX (Excel)","Using manual processes (e.g., Excel spreadsheets)","Time consumption","Extremely beneficial","Interactive and dynamic charts","Important","Education","Beginner","Maybe"
"2025/02/06 12:45:34 PM GMT+5:30","Monthly","XLSX (Excel)","Using manual processes (e.g., Excel spreadsheets)","Complexity of tools;Time consumption","Extremely beneficial","Interactive and dynamic charts","Very critical","Education","Beginner","Yes"